dev,address,district,sale_price,description,detail,asking_price,asking_price_change_quater,asking_price_change_year,gross_rental_yield,rental_price_change_year,bedrooms,bathrooms,internal_area,floors,towers,year_built,has_elevator,has_parking,has_security,has_cctv,has_pool,has_sauna,has_gym,has_garden_bbq,has_playground,has_shop_on_premise,has_restaurant_on_premise,has_wifi,city_train_distance,express_way_distance,close_city_train,close_express_way
Top View Tower,"Soi Bun Chana, Khlong Toei Nuea, Vadhana, Bangkok 10110",Watthana,9178567.0,"Top View Tower Sukhumvit 59 condo for sale in Bangkok CBD was built in 1996.
This Bangkok apartment comprises 1 building having 245 apartments on 38 floors.
Facilities at Top View Tower Sukhumvit 59 condo for sale in Bangkok
Top View Tower condominium has a great variety of facilities including","swimming pool
garden
gym/fitness club
tennis table
security gate
CCTV
24/7 reception desk
parking area
Wi-Fi in the public area",79221.0,0.0,16.99,4.85,7.02,1.0,1.0,176.6,38.0,1.0,1996.0,1,1,1,1,1,0,1,0,0,0,0,1,620.0,2500.0,1,0
Baan Ananda,"Soi Setthabut, Khlong Toei Nuea, Vadhana, Bangkok 10110",Watthana,39569031.0,"Baan Ananda Sukhumvit 61 condo for sale in Bangkok near Ekamai BTS is a low-rise luxury Bangkok condominium located near Ekamai BTS.
This condominium in Sukhumvit 61 was built in 2007. This luxury Bangkok condominium in Sukhumvit 61 comprises a single building having 28 full-sized condos on 7 floors.
Apartment types","2 Bedroom: 150 sqm
3 bedroom: 150-300 sqm
4 bedroom: 450-500 sqm",142732.0,0.0,-3.82,4.3,-2.29,1.0,1.0,326.66,7.0,1.0,2007.0,1,1,1,1,1,0,1,0,0,0,0,0,960.0,2800.0,1,0
Urbitia Thong Lo,"16 Soi Sukhumvit 36, Khwaeng Khlong Tan, Khet Khlong Toei",Khlong Toei,11932288.0,"Urbitia Thonglor Sukhumvit 36 is a condo for sale in Bangkok CBD that was developed in 2018.
This low-rise Bangkok condo for sale near BTS Thonglor comprises a single building, having 130 apartments on 8 floors.
Urbitia is a pet-friendly Bangkok condominium near Sukhumvit Road.
Facilities at this pet-friendly condo for sale in Bangkok near BTS
Facilities at Urbitia Thonglor include:","lobby
elevator
parking
24-hours security and 24/7 security guards and reception desk
key card access
CCTV
rooftop swimming pool
gym room
rooftop garden
sauna
pet-friendly",186477.0,0.0,-7.48,3.31,0.39,1.0,1.0,41.45,8.0,1.0,2018.0,1,1,1,1,1,1,1,1,0,0,0,0,400.0,2500.0,1,0
President Park Sukhumvit 24,"370-709 Soi Sukhumvit 22, Khwaeng Khlong Tan, Khet Khlong Toei",Khlong Toei,17250000.0,This large condo in Prompong for sale with 2 bedrooms is available in President Park Sukhumvit 24 and needs renovation.,"this large condo needs renovation
2-bedroom
2-bathroom
maids' quarter
area: 223 sqm
mid-floor: 10+
facing direction: East
fixed car parking slot
separated kitchen
foreign freehold ownership quota is available",77068.0,0.0,-1.83,4.05,-2.62,2.0,2.0,223.0,11.0,1.0,1996.0,1,1,1,1,1,0,1,0,0,0,1,1,1200.0,1400.0,0,0
Rin House,"Soi Phon Si, Khlong Toei Nuea, Vadhana, Bangkok 10110",Watthana,3953437.0,"Rin House Sukhumvit 39 condo for sale in Phrom Phong in Bangkok is a low-rise residential apartment that was constructed in 1997.
This condo for sale in Phrom Phong comprises a single building having 62 apartments on 8 floors.
Apartment types:","studio: 45 sqm
1-bedroom: 40 - 55 sqm
2-bedroom: 84 -110 sqm",75954.0,0.0,12.18,5.66,6.55,1.0,1.0,,8.0,1.0,1997.0,1,1,1,1,1,1,1,0,1,0,0,0,1700.0,2400.0,0,0
,,Sathon,9100000.0,This exclusive corner unit with a beautiful view is available now just near Belgium Ambassador Residence and BTS Chong Nonsi,"2-bedroom
2-bathroom
living area: 62.5 Sqm
2 parking spots
fully furnished",,,,,,2.0,2.0,62.5,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
Venio Sukhumvit 10,"38 Soi Sukhumvit 10, Khwaeng Khlong Toei, Khet Khlong Toei",Khlong Toei,5548870.0,"Venio Sukhumvit 10 Asoke is a condo for sale near Benjakitti Park that was built in 2018 by Ananda Development PCL.
This low-rise Bangkok condominium in Sukhumvit 10 comprises a single building, having 162 apartments on 8 floors.
Apartment types:","unit types: 1-2 bedroom
unit sizes: 23-72 sqm",159108.0,0.0,-6.16,4.3,1.6,1.0,1.0,38.61,8.0,1.0,2018.0,1,1,1,1,1,0,1,1,0,0,0,1,2100.0,4200.0,0,0
Sukhumvit Park,"Soi Saen Samran, Khlong Toei, Bangkok 10110",Khlong Toei,14406789.0,"Sukhumvit Park Sukhumvit 10 condo for sale in Bangkok was built in 1995.
This Bangkok condo for sale in Sukhumvit 10 comprises a single building, having 135 larger apartments on 30 floors.
Facilities at Sukhumvit Park Sukhumvit 10 condo for sale near BTS Nana","elevator
parking
24-hours security and 24/7 security guards and reception desk
key card with access to specific floor
CCTV
swimming pool
gym room
sauna
garden
restaurant on-premise
shop on-premise",97888.0,0.0,-9.77,4.71,2.13,1.0,1.0,197.18,30.0,1.0,1995.0,1,1,1,1,1,1,1,1,0,1,1,1,600.0,1300.0,1,0
Richmond Palace,"Soi Ban Don, Khlong Toei Nuea, Vadhana, Bangkok 10110",Watthana,16575527.0,"Richmond Palace Sukhumvit 43 condo for sale in Bangkok was built in 1994.
This Phrom Phong high-rise condo for sale comprises a single building, having 157 apartments on 23 floors.",Type of apartments,109803.0,0.0,1.77,4.61,16.25,1.0,1.0,237.31,23.0,1.0,1994.0,1,1,1,1,1,0,1,1,1,0,0,0,950.0,3700.0,1,0
RHYTHM Ekkamai,"50/2 Soi Sukhumvit 63 Road, Khwaeng Phra Khanong Nuea, Khet Watthana",Watthana,6600000.0,This new studio near Ekkamai BTS is available now in the luxury condominium Rhythm Ekkamai at Sukhumvit 63,"studio apartment
1 bathroom
balcony
area: 31 sqm
high flor: 20+ with nice unblocked city greenery view
fully furnished: modern style, convertible bed, comfortable design
fully equipped kitchen
full set of branded electrical appliances: flat TV, refrigerator, washing machine, microwave",217476.0,0.0,-0.09,4.51,-1.68,1.0,1.0,31.0,32.0,1.0,2018.0,1,1,1,1,1,1,1,1,0,0,0,1,430.0,2300.0,1,0
Wind Sukhumvit 23,"82 Soi Prasan Mit, Khwaeng Khlong Toei Nuea, Khet Watthana",Watthana,7300000.0,This 1-bedroom condo in Asoke is available now in Wind Sukhumvit 23 condominium,"1 bedroom
1 bathroom
53 sqm
balcony in the living room
facing West
low (10-) floor
1 parking place
partially furnished
full electrical appliances incl. flat TV, refrigerator, washing machine, and microwave
foreign freehold quota is available for this Bangkok condo",146024.0,0.0,-2.74,4.54,8.22,1.0,1.0,53.0,22.0,1.0,2009.0,1,1,1,1,1,1,1,1,1,0,0,0,560.0,1900.0,1,0
Tower Park,"88 Soi Sukhumvit 3, Khwaeng Khlong Toei Nuea, Khet Watthana",Watthana,36143389.0,"Tower Park Sukhumvit 3 Nana is a Bangkok condo for sale that was built in 1993.
This Bangkok condo for sale in Nana comprises a single building, having 128 apartments on 35 floors.
Facilities at this Bangkok condo for sale in Nana
Facilities at Tower Park Bangkok condo include","elevator
parking
24-hours security
CCTV
swimming pool
gym
tennis court
kids' playground
shop on-premise
Wi-Fi in the public area",128000.0,0.0,-0.7,2.77,-3.28,1.0,1.0,292.07,35.0,1.0,1993.0,1,1,1,1,1,0,1,0,1,1,0,1,1100.0,870.0,0,1
Regent on the Park 2,"Soi Setthabut, Khlong Toei Nuea, Vadhana, Bangkok 10110",Watthana,27852215.0,"Regent on The Park 2 Sukhumvit 61 condo for sale in Bangkok was built in 1992.
This high-rise Bangkok apartment complex comprises 1 building having 50 apartments on 31 floors
Apartment types","unit types: 3-bedroom
unit sizes: 250-265 sqm",125255.0,0.0,21.81,3.12,4.82,1.0,1.0,317.9,31.0,1.0,1992.0,1,1,1,1,1,0,1,1,1,1,1,1,950.0,2800.0,1,0
FYNN Asoke,"33 Sukhumvit 10 Alley, Khwaeng Khlong Toei, Khet Khlong Toei",Khlong Toei,8201030.0,"Fynn Asoke Sukhumvit 10 condo for sale in Bangkok near Benjakitti Park is planned to be completed in 2022 or 2023.
This low-rise Bangkok condominium in Sukhumvit 10 comprises a single building, having 250 apartments on 8 floors.
Apartment types:","unit types: 1-3 bedroom
unit sizes: 35-149 sqm",217993.0,0.0,0.0,3.92,0.0,1.0,1.0,46.6,8.0,2.0,2021.0,1,1,1,1,1,1,1,1,1,0,0,1,670.0,1500.0,1,0
La Vie En Rose Place,"20 Soi Sukhumvit 36, Khwaeng Khlong Tan, Khet Khlong Toei",Khlong Toei,17287763.0,"La Vie en Rose Place Sukhumvit 36 condo for sale in Bangkok was built in 2007.
This Bangkok condo on Sukhumvit 36 comprises 2 buildings, having 78 apartments on 7 floors
Apartment types","unit types: 2-4 bedroom
unit sizes: 84 - 197 sqm",123529.0,0.0,1.1,4.77,3.37,1.0,1.0,205.04,7.0,2.0,2007.0,1,1,1,1,1,0,1,1,0,0,0,1,490.0,2400.0,1,0
39 Suites,"Sukhumvit 49/11, Khlong Toei Nuea, Vadhana, Bangkok 10110",Watthana,10700000.0,"39 Suites Sukhumvit 39 condo for sale on Sukhumvit 39 near Samitivej Sukhumvit Hospital was built in 1996.
This Bangkok condominium comprises a single building, having 60 apartments on 9 floors.
39 Suites Sukhumvit 39 is a pet-friendly condominium: small dogs and cats are allowed.
Facilities at 39 Suites Bangkok condo
Facilities in 39 Suites condo in Sukhumvit 39 include","elevator
parking
24-hours security and 24/7 security guards and reception desk
key card with access to specific floor
CCTV
rooftop swimming pool
rooftop outdoor gym
rooftop garden and playground",100000.0,0.0,12.35,4.0,-27.92,1.0,1.0,121.21,9.0,1.0,1996.0,1,1,1,1,1,0,1,0,0,0,0,0,1100.0,3300.0,0,0
Taka Haus Ekamai 12,"37 Soi Charoen Mit, Khwaeng Khlong Tan Nuea, Khet Watthana",Watthana,4200000.0,A flat for sale in Ekamai 12 is available now in Taka Hausa Ekkamai 12 condominium by Sansiri PCL,"condo in the low-rise condominium
brand new unit
1-bedroom
1-bathroom
area: 31 sqm
low floor
car parking slot
fully furnished: modern style
fully equipped kitchen
electrical appliances: flat TV, refrigerator, microwave
foreign freehold ownership quota is available",161290.0,-15.46,-16.64,3.55,-21.93,1.0,1.0,31.0,8.0,2.0,2019.0,1,1,1,1,1,0,1,1,1,0,1,1,1800.0,1900.0,0,0
The Tempo Ruamrudee,"Soi Ruam Rudi 1, Lumphini, Pathum Wan, Bangkok 10330",Khlong Toei,6921349.0,"The Tempo Ruamrudee Ploenchit is a condo for sale in Bangkok CBD that was built in 2010.
This low-rise Bangkok condominium in Ruamrudee Soi 1 consists of 1 building having 78 apartments on 8 floors.
Facilities at  The Tempo Ruamrudee Ploenchit apartment in Bangkok","lobby
elevator
parking
24/7 security
key card with access to a specific floor
CCTV
rooftop swimming pool
gym/fitness room",145233.0,0.0,3.75,4.8,-0.51,1.0,1.0,59.8,8.0,1.0,2010.0,1,1,1,1,1,0,1,1,0,0,0,1,640.0,640.0,1,1
Condolette Dwell Sukhumvit 26,"Soi Thanying Phuangrat Praphai, Khlong Tan, Khlong Toei, Bangkok 10110",Khlong Toei,4950000.0,This affordable condo on Sukhumvit 26 is available now in Condolette Dwell low-rise condominium near BTS Phrom Phong,"this cheap Bangkok condo is located near BTS Phrom Phong
1-bedroom
1-bathroom
1 car parking slot
area: 35 sqm
fully furnished with a built-in wardrobe
fully equipped kitchen
full electrical appliances
foreign freehold quota is available for this condo",142220.0,0.0,3.83,4.78,-2.41,1.0,1.0,35.0,8.0,2.0,2014.0,1,1,1,1,1,0,1,1,0,0,0,1,600.0,2200.0,1,0
J.C. Tower,"51/11 พร้อมพรรค Khwaeng Khlong Tan Nuea, Khet Watthana",Watthana,5138211.0,"J.C. Tower Thonglor 25 is a condo for sale in Bangkok that was built in 1991. This project comprises a single building having 354 apartments on 22 floors.
Apartment types","Unit types: 1 and 2 bedrooms
Unit sizes: 55 - 110 sqm",67652.0,0.0,18.69,5.36,22.76,1.0,1.0,107.26,12.0,2.0,1991.0,1,1,1,1,0,0,0,1,0,1,1,0,2400.0,3100.0,0,0
Sathorn Plus - By The Garden,"3 Thanon Yen Akat, Khwaeng Chong Nonsi, Khet Yan Nawa",Yan Nawa,6648646.0,"Sathorn Plus - By The Garden condo for sale in Bangkok was built by Plus Property Partner in 2006.
This Bangkok condo for sale in Sathorn comprises 2 buildings, having 70 apartments on 8 floors.
Apartment types","Unit types: 1-2 bedroom
Unit sizes: 50-90 sqm",95773.0,0.0,26.32,4.11,-4.65,1.0,1.0,85.68,8.0,1.0,2006.0,1,1,1,1,1,1,1,1,0,0,0,1,1400.0,1300.0,0,0
The Amethyst Sukhumvit 39,"Soi Phrom Mit, Khlong Toei Nuea, Vadhana, Bangkok 10110",Watthana,6645440.0,"The Amethyst Sukhumvit 39 Phrom Phong condo for sale near BTS Phrom Phong was built in 2008.
This Bangkok low-rise condominium comprises a single building, having 79 apartments on 8 floors.
Apartment types","Unit types: 1-2 bedroom
Unit sizes: 35-80 sqm",107913.0,0.0,4.6,5.36,-3.02,1.0,1.0,77.45,8.0,1.0,2008.0,1,1,1,1,1,0,1,0,1,0,0,0,1100.0,3900.0,0,0
The Nest Sukhumvit 22,"1172 Soi Setthi Thawi Sap 1, Khwaeng Khlong Toei, Khet Khlong Toei",Khlong Toei,4257216.0,"The Nest Sukhumvit 22 is a pet-friendly condo for sale in Bangkok that was built in 2018.
The Nest Sukhumvit 22 condominium comprises two buildings of 8 floors each with 316 apartments.
The Nest Sukhumvit 22 B is a pet-friendly condominium in Bangkok.
Apartment types","Studio - 24 m2
1 Bedroom - 37 m2
2 Bedrooms - 41-56.5 m2",142195.0,0.0,-5.74,4.41,-7.94,1.0,1.0,33.68,8.0,2.0,2017.0,1,1,1,1,1,0,1,1,1,0,0,0,1400.0,1900.0,0,0
Baan Ploenchit,"Soi Ruam Rudi 2, Lumphini, Pathum Wan, Bangkok 10330",Khlong Toei,7682280.0,"Baan Ploenchit Ruamrudee 2 condo for sale in Bangkok near BTS Ploenchit was built in 1994.
This Bangkok condominium comprises a single building, having 129 units on 16 floors.
Facilities at Baan Ploenchit Bangkok apartment for sale
Facilities at Baan Ploenchit include:","lobby
elevator
parking
24/7 security
key card with access to specific floor
CCTV
swimming pool
gym/fitness room
sauna
parking",114554.0,0.0,18.05,3.78,-8.38,1.0,1.0,108.64,16.0,1.0,1994.0,1,1,1,1,1,1,1,0,0,0,0,1,930.0,940.0,1,1
The Peak Sukhumvit 15,"Soi Ruam Chai, Khlong Tan Nuea, Vadhana, Bangkok 10110",Watthana,10458179.0,"The Peak Sukhumvit 15 condo for sale in Asoke near NIST International school was developed in 2005.
This low-rise Bangkok condominium comprises a single building, having 26 apartments on 8 floors.
Apartment types:","1-bedroom: 59-65 sqm
2-bedroom: 83-105 sqm
3-bedroom: 130-230 sqm",94101.0,0.0,-5.0,5.02,16.22,1.0,1.0,133.18,8.0,1.0,2005.0,1,1,1,1,1,0,1,1,0,0,0,1,510.0,1200.0,1,0
First Tower condominium,"154 Sukhumvit 1 Alley, Khwaeng Khlong Toei Nuea, Khet Watthana",Watthana,3051423.0,"First Tower Sukhumvit 1 condo for sale in Bangkok is located in very proximity to Bumrungrad International hospital
The construction of this Bangkok condo for sale was completed in 2003.
The condominium comprises a single building, having 208 apartments on 22 floors.
Apartment types","unit types: studio - 2-bedroom
unit sizes: 28-100 sqm",,,,,,1.0,1.0,62.0,,1.0,,0,0,0,0,0,0,0,0,0,0,0,0,1100.0,880.0,0,1
SOCIO Ruamrudee,"119/10 Soi Ruam Ruedi, Khwaeng Lumphini, Khet Pathum Wan",Khlong Toei,4805306.0,"Socio Ruamrudee Ploenchit condo for sale in Bangkok was built in 2011.
This low-rise Bangkok condo in Ruamrudee Soi 2 consists of a single building having 67 apartments on 8 floors.
Total land area: 800 sqm
Facilities at Socio Ruamrudee condo for sale in Bangkok","lobby
elevator
parking
24/7 security
key card with access to a specific floor
CCTV
roof-top swimming pool
gym/fitness room
roof-top garden",98674.0,-25.13,-27.35,6.69,-2.31,1.0,1.0,49.33,8.0,1.0,2011.0,1,1,1,1,1,0,1,0,0,0,0,0,1100.0,1600.0,0,0
Baan Siri Sukhumvit 10,"20 Soi Sukhumvit 10, Khwaeng Khlong Toei, Khet Khlong Toei",Khlong Toei,10536167.0,"Baan Siri Sukhumvit 10 Nana condo for sale in Bangkok near BTS Nana and BTS Asoke was developed by Sansiri Public Company in 2005.
This Bangkok condo for sale comprises two buildings, having 118 apartments on 8 floors.
Apartment types","Unit types: 1-3 bedrooms
Unit sizes: 55- 140 sqm",128033.0,0.0,2.81,4.06,21.97,1.0,1.0,105.36,8.0,2.0,2005.0,1,1,1,1,1,0,1,1,1,0,0,0,500.0,1200.0,1,0
Grand Park View Asoke,"189/438, อาคารแกรนด์ พาร์ควิว อโศก ชั้น 29, ถนนสุขุมวิท 21, แขวงคลองเตยเหนือ เขตวัฒนา",Watthana,3800000.0,This condo near the university in Asoke is available now for urgent sale in Grand Park View Asoke condominium on Sukhumvit 21,"1 bedroom
1 bathroom
1 balcony
facing direction: North
1 parking place
mid floor: 15+
fully furnished
full set of electrical appliances
foreign freehold quota available",127976.0,0.0,0.44,3.93,-9.89,1.0,1.0,37.0,32.0,1.0,2005.0,1,1,1,1,1,1,1,1,1,1,0,1,610.0,1400.0,1,0
The Lofts Ekkamai,"1413 Sukhumvit Road, Phra Khanong Nuea, Watthana, Bangkok 10110",Khlong Toei,5450000.0,This apartment near BTS Ekkamai is available now. This new 1 bedroom in The Lofts Ekkamai is nicely decorated and is available for sale,"1 bedroom
1 bathroom
1 balcony
28 sqm
balcony
mid-flow (10-20)
1 parking slot
fully furnished: modern style
open and fully equipped built-in kitchen
full set of electrical appliances: flat TV, refrigerator, washing machine, microwave
foreign freehold ownership quota is available",192794.0,0.0,-0.23,4.43,1.86,1.0,1.0,28.0,28.0,1.0,2016.0,1,1,1,1,1,1,1,1,0,0,0,0,330.0,2200.0,1,0
Prime Mansion Promsri,"Sukhumvit 49/11, Khlong Toei Nuea, Vadhana, Bangkok 10110",Watthana,13470898.0,"Prime Mansion Promsri Sukhumvit 39 condo for sale in Bangkok was built in 2005.
This Bangkok condo for sale comprises a single building, having 40 apartments on 8 floors.
Prime Mansion Promsri is a pet-friendly condo in Bangkok
Facilities at Prime Mansion Promsri Sukhumvit 39 condo for sale","elevator
parking
24-hours security and 24/7 security guards and reception desk
key card with access to specific floor
CCTV
swimming pool
gym room
sauna
garden
WiFi in the public area",117768.0,0.0,18.69,4.75,2.19,1.0,1.0,140.61,8.0,1.0,2005.0,1,1,1,1,1,1,1,1,0,0,0,1,1200.0,3400.0,0,0
Pyne by Sansiri,"Phayathai Rd, Khwaeng Thanon Phetchaburi, Khet Ratchathewi",Pathum Wan,13864573.0,"Pyne By Sansiri Ratchathewi luxury condo for sale near BTS Ratchathewi at Phetchaburi Road was completed in 2013.
This luxury Bangkok condo was developed by Sansiri PCL. Sansiri is also known as the developer behind 39 by Sansiri, Baan Siri 31,  and many other condominiums in Bangkok.
This high-rise Bangkok condominium comprises a single building, having 298 apartments on 42 floors.
Facilities at Pyne By Sansiri Ratchathewi luxury Bangkok condo for sale near BTS Ratchathewi","elevators
parking
24-hours security
CCTV
swimming pool
gym/fitness
sauna
garden
kids' playground",260000.0,0.0,-0.02,2.9,7.71,1.0,1.0,69.21,42.0,1.0,2013.0,1,1,1,1,1,1,1,1,0,0,0,1,200.0,1400.0,1,0
,,Watthana,12900000.0,This large condo in Asoke on Sukhumvit 21 with 2 bedrooms and an unblocked view is available in the Asoke Place condominium.,"2-bedroom
2-bathroom
balcony
large area: 138 sqm
fixed car parking slot
facing direction: South with an unblocked view
mid-floor: 10+
fully furnished
open and fully equipped kitchen
full set of electrical appliances
foreign freehold ownership quota available",,,,,,2.0,2.0,138.0,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
NOBLE STATE 39,"35 Soi Sukhumvit 39, Khlong Tan, Khet Watthana",Watthana,11137634.0,Noble State 39 Sukhumvit 39 luxury Bangkok condo for sale near BTS Phrom Phong will be completed in 2023 by Noble Development PCL,"To be modern is not a fashion,
it is a STATE
- Le Corbusier",218191.0,0.0,-5.41,0.0,,1.0,1.0,,36.0,2.0,,1,1,1,1,1,1,1,1,1,0,0,1,900.0,2800.0,1,0
Le Cote Sukhumvit 14,"Soi Phraek Samakkhi, Khwaeng Khlong Toei, Khet Khlong Toei",Khlong Toei,6092648.0,"Le Cote Sukhumvit 14 Asoke condo for sale in Bangkok CBD was developed by City Resort Group in 2012.
This Bangkok condo near BTS Asoke comprises a single building, having 60 apartments on 8 floors. Total project area: 724 sqm
Facilities at Le Cote Sukhumvit 14 Bangkok condo near BTS Asoke","Lobby
Rooftop swimming pool
Fitness
Elevator
Parking
24-hours Security
CCTV",157968.0,0.0,0.1,3.71,-14.66,1.0,1.0,45.49,8.0,1.0,2012.0,1,1,1,1,1,0,1,0,0,0,0,0,110.0,1400.0,1,0
Silver Heritage,"Soi Santi Suk, Phra Khanong, Khlong Toei, Bangkok 10110",Khlong Toei,29382566.0,"Silver Heritage Sukhumvit 38 condo for sale in Bangkok CBD was built in 2009.
This pet-friendly Bangkok condo for sale comprises one building, having 27 large apartments on 8 floors.
Silver Heritage Bangkok condominium allows pets.
Facilities at Silver Heritage Sukhumvit 38 Bangkok condo for sale","elevator
parking
24-hours security
CCTV
swimming pool
sauna
gym",139718.0,0.0,7.84,4.42,-6.87,1.0,1.0,298.02,8.0,1.0,2007.0,1,1,1,1,1,1,1,0,0,0,0,0,690.0,1900.0,1,0
Saranjai Mansion,"Sukhumvit Soi 6, Khwaeng Khlong Toei, Khet Khlong Toei",Khlong Toei,5361711.0,"Saranjai Mansion Sukhumvit 6 condo for sale near Nana BTS in Bangkok was built in 1992.
This Bangkok condominium in Sukhumvit Soi 6 comprises a single building having 480 apartments on 23 floors.
Apartment types:","unit types: studio - 3-bedroom
unit sizes: 35 - 220 sqm",86923.0,0.0,7.11,4.35,-6.8,1.0,1.0,88.01,23.0,1.0,1992.0,1,1,1,1,1,0,1,0,0,1,0,0,270.0,820.0,1,1
The Parkland Grand Asoke - Phetchaburi,"Thanon Phetchaburi, Bang Kapi, Huai Khwang, Bangkok 10310",Watthana,4186637.0,"The Parkland Grand Asoke-Phetchaburi condo for sale in Bangkok was developed by Narai Property in 2012
This Bangkok condo comprises a single tower, having 295 apartments on 26 floors.
Apartment types:","1-bedroom: 35 - 40 sqm
2-bedroom: 53 - 65 sqm",117176.0,0.0,0.51,5.71,3.91,1.0,1.0,44.85,26.0,1.0,2012.0,1,1,1,1,1,0,1,1,0,0,0,0,550.0,1100.0,1,0
Watthana Heights,"Sukhumvit 21 Soi 1, Khwaeng Khlong Toei Nuea, Khet Watthana",Watthana,24000000.0,"Wattana Heights Sukhumvit 21 Asoke is a condo for sale in Bangkok CBD located in the heart of the Bangkok business area near Asoke BTS between Sukhumvit 21 and Sukhumvit 19.
All apartments in this building are large.
This Bangkok condominium was built in 1994 and it comprises 60 large apartments on 39 floors.
This condominium allows pets
Facilities at Wattana Heights Sukhumvit 21 Asoke condo for sale in Bangkok CBD","Security gate
CCTV
24/7 reception desk
Parking area
Fitness/gym
Swimming pool
Sauna
Public area
Kids play zone",89146.0,0.0,25.72,3.78,-41.46,1.0,1.0,339.39,39.0,1.0,1994.0,1,1,1,1,1,1,1,0,0,0,0,0,340.0,1600.0,1,0
Baan Siri 24,"Soi Kasem, Khlong Tan, Khlong Toei, Bangkok 10110",Khlong Toei,13000000.0,This condo near BTS Prompong on Sukhumvit 24 with 2 bedrooms is available at Baan Siri 24 condominium,"well maintained property
2-bedroom
2-bathroom
balcony
mid-floor: 10+
facing direction: South
separated and fully equipped kitchen
fully furnished
full set of electrical appliances
foreign freehold quota is available",180328.0,0.0,-2.21,3.85,18.16,2.0,2.0,90.55,34.0,1.0,2007.0,1,1,1,1,1,1,1,0,0,0,0,1,580.0,2000.0,1,0
Premier Condominium,"Soi Kasem, Khlong Tan, Khlong Toei, Bangkok 10110",Khlong Toei,15050000.0,"Premier Condominium Sukhumvit 24 was built in 1981.
This Bangkok condo for sale in Phrom Phong comprises a single building having 80 apartments on 12 floors.
Premier Condominium is a pet-friendly Bangkok condo for sale.
Facilities at Premier condo for sale in Sukhumvit 24 in Bangkok","security with CCTV and guards
keycard door access
parking
elevators
swimming pool
fitness/gym
garden",132042.0,0.0,165.66,3.69,28.89,1.0,1.0,147.16,12.0,1.0,1981.0,1,1,1,1,1,0,1,1,0,0,0,0,350.0,2200.0,1,0
,,Bang Na,3550000.0,This cheapest condo near BTS Bangna is available now,"this condo is for sale with a tenant: paying 12,000 per month until May 2021
1-bedroom
1-bathroom
balcony
low floor: 10-
fully furnished
equipped kitchen
full set of essential electrical appliances
foreign freehold ownership quota",,,,,,1.0,1.0,30.39,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
Circle S Sukhumvit 12,"24 Sukhumvit Rd, Khlong Toei Nuea, Watthana",Khlong Toei,7570135.0,"Circle S Sukhumvit 12 condo for sale in Bangkok near BTS Asoke was built in 2015.
Circle S Sukhumvit 12 is a low-rise Bangkok apartment building located on Sukhumvit 12, close to BTS Asoke.
Facilities at this Bangkok condo for sale in Sukhumvit 12","Lobby & Library
Rooftop swimming pool
Rooftop Garden / BBQ
Jacuzzi
Fitness
Elevator
Parking
24-hours Security
CCTV",,,,,,1.0,1.0,,,1.0,,0,0,0,0,0,0,0,0,0,0,0,0,7600.0,3700.0,0,0
The Lofts Ekkamai,"1413 Sukhumvit Road, Phra Khanong Nuea, Watthana, Bangkok 10110",Khlong Toei,7000000.0,This condo near BTS Ekkamai is available now. This new 1 bedroom in The Lofts Ekkamai is nicely decorated.,"1 bedroom
1 bathroom
1 balcony
35 sqm
balcony
mid-flow (10-20)
1 parking slot
fully and nicely furnished
open and fully equipped built-in kitchen
full set of electrical appliances",192794.0,0.0,-0.23,4.43,1.86,1.0,1.0,35.0,28.0,1.0,2016.0,1,1,1,1,1,1,1,1,0,0,0,0,330.0,2200.0,1,0
15 Suite,"67 Soi Sukhumvit 15, Khwaeng Khlong Toei Nuea, Khet Watthana",Watthana,9900000.0,"15 Suite Sukhumvit 15 condo for sale in Asoke near NIST International School was built in 1996.
This Bangkok condo for sale comprises a single building, having 75 units on 8 floors.
Facilities at 15 Suite Sukhumvit 15 condo for sale in Bangkok
Facilities of this Bangkok apartment include:","lobby
elevator
parking
24-hours security
CCTV
swimming pool
gym/fitness room",53571.0,0.0,0.0,6.74,19.44,1.0,1.0,112.0,8.0,1.0,1996.0,1,1,1,1,1,0,1,0,0,0,0,0,860.0,1400.0,1,0
Liberty Park,"72 Soi Prasan Mit, Khwaeng Khlong Toei Nuea, Khet Watthana",Watthana,19879624.0,"Liberty Park Sukhumvit 23 condo for sale in Bangkok in Asoke near Srinakharinwirot University was completed in 1993.
This condominium in Bangkok comprises a single building, having 79 spacious apartments on 34 floors.
Facilities at Liberty Park Bangkok apartment for sale in Sukhumvit 23
Facilities of Liberty Park 1 include:","lobby
elevator
parking
24-hours security
CCTV
swimming pool
sauna
gym / fitness",113096.0,0.0,19.57,3.66,38.0,1.0,1.0,285.14,34.0,1.0,1993.0,1,1,1,1,1,1,1,0,0,0,0,0,680.0,1700.0,1,0
